no,country,pop,land_area,fert_rate,med_age,urban_pop_per,world_share,latitude,longitude
1,India,1450935791,2973190,2,28,0.37,0.1778,22.3511148,78.6677428
2,China,1419321278,9388211,1,40,0.66,0.1739,35.0000663,104.999955
3,United States,345426571,9147420,1.6,38,0.82,0.0423,39.7837304,-100.445882
4,Indonesia,283487931,1811570,2.1,30,0.59,0.0347,-2.4833826,117.8902853
5,Pakistan,251269164,770880,3.5,20,0.34,0.0308,30.3308401,71.247499
6,Nigeria,232679478,910770,4.4,18,0.54,0.0285,9.6000359,7.9999721
7,Brazil,211998573,8358140,1.6,34,0.91,0.026,-10.3333333,-53.2
8,Bangladesh,173562364,130170,2.1,26,0.42,0.0213,24.4769288,90.2934413
9,Russia,144820423,16376870,1.5,40,0.75,0.0177,64.6863136,97.7453061
10,Ethiopia,132059767,1000000,3.9,19,0.22,0.0162,10.2116702,38.6521203
11,Mexico,130861007,1943950,1.9,29,0.87,0.016,23.6585116,-102.0077097
12,Japan,123753041,364555,1.2,49,0.93,0.0152,36.5748441,139.2394179
13,Egypt,116538258,995450,2.7,24,0.41,0.0143,26.2540493,29.2675469
14,Philippines,115843670,298170,1.9,26,0.49,0.0142,12.7503486,122.7312101
15,DR Congo,109276265,2267050,6,16,0.44,0.0134,-2.9814344,23.8222636
16,Vietnam,100987686,310070,1.9,33,0.41,0.0124,15.9266657,107.9650855
17,Iran,91567738,1628550,1.7,33,0.73,0.0112,32.6475314,54.5643516
18,Turkey,87473805,769630,1.6,33,0.76,0.0107,38.9597594,34.9249653
19,Germany,84552242,348560,1.4,45,0.76,0.0104,51.1638175,10.4478313
20,Thailand,71668011,510890,1.2,40,0.53,0.0088,14.8971921,100.83273
21,United Kingdom,69138192,241930,1.6,40,0.84,0.0085,54.7023545,-3.2765753
22,Tanzania,68560157,885800,4.5,17,0.39,0.0084,-6.5247123,35.7878438
23,France,66548530,547557,1.6,42,0.82,0.0082,46.603354,1.8883335
24,South Africa,64007187,1213090,2.2,28,0.66,0.0078,-28.8166236,24.991639
25,Italy,59342867,294140,1.2,48,0.72,0.0073,42.6384261,12.674297
26,Kenya,56432944,569140,3.2,20,0.31,0.0069,1.4419683,38.4313975
27,Myanmar,54500091,653290,2.1,30,0.34,0.0067,17.1750495,95.9999652
28,Colombia,52886363,1109500,1.6,32,0.81,0.0065,4.099917,-72.9088133
29,South Korea,51717590,97230,0.7,45,0.82,0.0063,36.638392,127.6961188
30,Sudan,50448963,1765048,4.3,18,0.35,0.0062,14.5844444,29.4917691
31,Uganda,50015092,199810,4.2,17,0.29,0.0061,1.5333554,32.2166578
32,Spain,47910526,498800,1.2,45,0.79,0.0059,39.3260685,-4.8379791
33,Algeria,46814308,2381740,2.7,28,0.74,0.0057,28.0000272,2.9999825
34,Iraq,46042015,434320,3.2,21,0.72,0.0056,33.0955793,44.1749775
35,Argentina,45696159,2736690,1.5,33,0.95,0.0056,-34.9964963,-64.9672817
36,Afghanistan,42647492,652860,4.8,17,0.27,0.0052,33.7680065,66.2385139
37,Yemen,40583164,527970,4.5,18,0.33,0.005,16.3471243,47.8915271
38,Canada,39742430,9093510,1.3,40,0.8,0.0049,61.0666922,-107.991707
39,Poland,38539201,306230,1.3,42,0.59,0.0047,52.215933,19.134422
40,Morocco,38081173,446300,2.2,30,0.67,0.0047,31.1728205,-7.3362482
41,Angola,37885849,1246700,5,17,0.68,0.0046,-11.8775768,17.5691241
42,Ukraine,37860221,579320,1,42,0.79,0.0046,49.4871968,31.2718321
43,Uzbekistan,36361859,425400,3.5,27,0.48,0.0045,41.32373,63.9528098
44,Malaysia,35557673,328550,1.5,31,0.77,0.0044,4.5693754,102.2656823
45,Mozambique,34631766,786380,4.7,16,0.41,0.0042,-19.302233,34.9144977
46,Ghana,34427414,227540,3.3,21,0.58,0.0042,8.0300284,-1.0800271
47,Peru,34217848,1280000,2,30,0.8,0.0042,-6.8699697,-75.0458515
48,Saudi Arabia,33962757,2149690,2.3,30,0.92,0.0042,25.6242618,42.3528328
49,Madagascar,31964956,581795,3.9,19,0.4,0.0039,-18.9249604,46.4416422
50,Côte d'Ivoire,31934230,318000,4.2,18,0.49,0.0039,7.9897371,-5.5679458
51,Nepal,29651054,143350,2,25,0.24,0.0036,28.3780464,83.9999901
52,Cameroon,29123744,472710,4.3,18,0.59,0.0036,4.6125522,13.1535811
53,Venezuela,28405543,882050,2.1,29,N.A.,0.0035,8.0018709,-66.1109318
54,Niger,27032412,1266700,5.9,15,0.18,0.0033,17.7356214,9.3238432
55,Australia,26713205,7682300,1.6,38,0.86,0.0033,-24.7761086,134.755
56,North Korea,26498823,120410,1.8,36,0.63,0.0032,40.3736611,127.0870417
57,Syria,24672760,183630,2.7,23,0.53,0.003,34.6401861,39.0494106
58,Mali,24478595,1220190,5.5,16,0.44,0.003,16.3700359,-2.2900239
59,Burkina Faso,23548781,273600,4.1,17,0.33,0.0029,12.0753083,-1.6880314
60,Taiwan,23213962,35410,0.9,44,0.83,0.0028,23.9739374,120.9820179
61,Sri Lanka,23103565,62710,2,33,0.18,0.0028,7.5554942,80.7137847
62,Malawi,21655286,94280,3.6,18,0.19,0.0027,-13.2687204,33.9301963
63,Zambia,21314956,743390,4,18,0.46,0.0026,-14.5189121,27.5589884
64,Kazakhstan,20592571,2699700,3,30,0.55,0.0025,48.1012954,66.7780818
65,Chad,20299123,1259200,6,16,0.22,0.0025,15.6134137,19.0156172
66,Chile,19764771,743532,1.1,36,0.85,0.0024,-31.7613365,-71.3187697
67,Romania,19015088,230170,1.7,43,0.55,0.0023,45.9852129,24.6859225
68,Somalia,19009151,627340,6,16,0.46,0.0023,8.3676771,49.083416
69,Senegal,18501984,192530,3.8,19,0.52,0.0023,14.4750607,-14.4529612
70,Guatemala,18406359,107160,2.3,23,0.56,0.0023,15.5855545,-90.345759
71,Netherlands,18228742,33720,1.4,41,0.89,0.0022,52.24764975,5.541246849
72,Ecuador,18135478,248360,1.8,29,0.65,0.0022,-1.3397668,-79.3666965
73,Cambodia,17638801,176520,2.5,26,0.26,0.0022,12.5433216,104.8144914
74,Zimbabwe,16634373,386850,3.7,18,0.38,0.002,-18.4554963,29.7468414
75,Guinea,14754785,245720,4.1,18,0.4,0.0018,10.7226226,-10.7083587
76,Benin,14462724,112760,4.5,18,0.47,0.0018,9.5293472,2.2584408
77,Rwanda,14256567,24670,3.6,20,0.18,0.0017,-1.9646631,30.0644358
78,Burundi,14047786,25680,4.8,16,0.14,0.0017,-3.426449,29.9324519
79,Bolivia,12413315,1083300,2.5,25,0.7,0.0015,-17.0568696,-64.9912286
80,Tunisia,12277109,155360,1.8,33,0.71,0.0015,33.8439408,9.400138
81,South Sudan,11943408,610952,3.8,18,0.27,0.0015,7.8699431,29.6667897
82,Haiti,11772557,27560,2.6,24,0.61,0.0014,19.1399952,-72.3570972
83,Belgium,11738763,30280,1.4,42,0.99,0.0014,50.6402809,4.6667145
84,Jordan,11552876,88780,2.6,25,0.84,0.0014,31.1667049,36.941628
85,Dominican Republic,11427557,48320,2.2,28,0.86,0.0014,19.0974031,-70.3028026
86,United Arab Emirates,11027129,83600,1.2,32,0.82,0.0014,24.0002488,53.9994829
87,Cuba,10979783,106440,1.4,42,0.81,0.0013,23.0131338,-80.8328748
88,Honduras,10825703,111890,2.5,24,0.58,0.0013,15.2572432,-86.0755145
89,Czech Republic (Czechia),10735859,77240,1.5,43,0.74,0.0013,,
90,Sweden,10606999,410340,1.4,40,0.87,0.0013,59.6749712,14.5208584
91,Tajikistan,10590927,139960,3,22,0.27,0.0013,38.6281733,70.8156541
92,Papua New Guinea,10576502,452860,3.1,23,0.12,0.0013,-5.6816069,144.2489081
93,Portugal,10425292,91590,1.5,47,0.66,0.0013,39.6621648,-8.1353519
94,Azerbaijan,10336577,82658,1.7,33,0.58,0.0013,40.3936294,47.7872508
95,Greece,10047817,128900,1.3,46,0.88,0.0012,38.9953683,21.9877132
